,vendor
CVE-2019-16548,jenkins
CVE-2019-16547,jenkins
CVE-2019-16546,jenkins
CVE-2013-2092,dolibarr
CVE-2013-2091,dolibarr
CVE-2013-1817,mediawiki
CVE-2013-1817,debian
CVE-2013-1817,redhat
CVE-2013-1817,fedoraproject
CVE-2013-1816,mediawiki
CVE-2013-1816,debian
CVE-2013-1816,redhat
CVE-2013-1816,fedoraproject
CVE-2012-1257,pidgin
CVE-2011-4455,tiki
CVE-2011-4454,tiki
CVE-2010-4659,status
CVE-2010-4660,status
CVE-2013-0195,matomo
CVE-2013-0194,matomo
CVE-2013-0193,matomo
CVE-2012-6136,redhat
CVE-2012-6136,fedoraproject
CVE-2012-6136,debian
CVE-2011-1028,smarty
CVE-2011-1028,debian
CVE-2019-15072,openfind
CVE-2019-15071,openfind
CVE-2019-6191,lenovo
CVE-2019-6189,lenovo
CVE-2019-6187,lenovo
CVE-2019-6184,lenovo
CVE-2011-3352,ziku
CVE-2019-10766,pixie_project
CVE-2011-2922,ktsuss_project
CVE-2016-1000236,cookie-signature_project
CVE-2016-1000236,debian
CVE-2012-6135,phusion
CVE-2012-6135,redhat
CVE-2011-2921,ktsuss_project
CVE-2016-1000006,facebook
CVE-2012-0842,suckless
CVE-2012-0842,debian
CVE-2011-4954,cobblerd
CVE-2011-4952,cobblerd
CVE-2011-4919,mpack_project
CVE-2019-16861,code42
CVE-2019-16860,code42
CVE-2019-12422,apache
CVE-2014-5118,trusted_boot_project
CVE-2014-5118,redhat
CVE-2014-5118,fedoraproject
CVE-2019-19117,phicomm
CVE-2019-10764,simplito
CVE-2012-4441,jenkins
CVE-2012-4440,jenkins
CVE-2008-7273,getfiregpg
CVE-2019-17085,microfocus
CVE-2019-15054,getmailbird
CVE-2019-12409,apache
CVE-2019-10070,apache
CVE-2012-4439,jenkins
CVE-2012-4438,jenkins
CVE-2019-18215,comodo
CVE-2019-10763,pimcore
CVE-2019-3424,ztehome
CVE-2019-3423,ztehome
CVE-2019-12311,sandline
CVE-2019-12299,sandline
CVE-2019-12271,sandline
CVE-2018-20687,raritan
CVE-2019-5688,nvidia
CVE-2019-5102,openwrt
CVE-2019-5101,openwrt
CVE-2019-19085,octopus
CVE-2019-19084,octopus
CVE-2019-17058,footy
CVE-2019-17057,footy
CVE-2019-14467,infoway
CVE-2019-19083,linux
CVE-2019-19082,linux
CVE-2019-19081,linux
CVE-2019-19080,linux
CVE-2019-19079,linux
CVE-2019-19078,linux
CVE-2019-19077,linux
CVE-2019-19076,linux
CVE-2019-19075,linux
CVE-2019-19074,linux
CVE-2019-19073,linux
CVE-2019-19072,linux
CVE-2019-19071,linux
CVE-2019-19070,linux
CVE-2019-19069,linux
CVE-2019-19068,linux
CVE-2019-19067,linux
CVE-2019-19066,linux
